%% LaTeX2e file `data.csv'
%% generated by the `filecontents' environment
%% from source `main' on 2024/06/13.
%%
 Solution,SLICE,LUT,FF,DSP,BRAM,CP_required,CP_achieved_post_synthesis,CP_achieved_post_implementation
 1,48,93,161,3,0,10,5.745,5.692
 2,38,115,139,3,0,10,5.745,5.718
 3,48,94,161,3,0,10,5.745,5.692
 4,83,186,292,3,0,10,5.745,5.692
 5,69,184,196,6,0,10,7.927,7.465
 6a,113,316,198,6,0,10,7.927,7.799
 6b,84,259,224,6,0,10,7.472,7.843
 6c,99,327,224,6,0,10,7.502,8.184
 6d,99,250,198,6,0,10,6.541,6.931
 7,38,115,139,3,0,10,5.745,5.718
 8a,123,343,315,6,0,10,6.540,6.571
 8b,85,261,226,6,0,10,7.496,7.654
 8c,92,274,196,6,0,10,7.927,7.780
 8d,104,248,313,6,0,10,6.540,6.844
 9,80,208,263,3,0,10,5.745,5.762
 10a,204,558,449,6,0,10,6.540,6.840
 10b,83,268,230,6,0,10,7.496,8.115
 10c,117,342,199,6,0,10,7.927,7.603
 10d,143,311,444,6,0,10,6.540,6.790
 11a,179,454,450,6,0,10,6.541,6.677
 11b,90,267,227,6,0,10,7.489,7.664
 11c,122,391,232,6,0,10,7.506,7.768
 11d,143,311,444,6,0,10,6.540,6.790
