%% LaTeX2e file `utilization.csv'
%% generated by the `filecontents' environment
%% from source `main' on 2024/06/14.
%%
 Solution,SLICE,LUT,FF,DSP,BRAM
 1,48,93,161,3,0
 2,38,115,139,3,0
 3,48,94,161,3,0
 4,83,186,292,3,0
 5,69,184,196,6,0
 6a,113,316,198,6,0
 6b,84,259,224,6,0
 6c,99,327,224,6,0
 6d,99,250,198,6,0
 7,75,248,131,3,0
 8a,123,343,315,6,0
 8b,85,261,226,6,0
 8c,92,274,196,6,0
 8d,104,248,313,6,0
 9,75,248,131,3,0
 10a,204,558,449,6,0
 10b,83,268,230,6,0
 10c,117,342,199,6,0
 10d,143,311,444,6,0
 11a,179,454,450,6,0
 11b,90,267,227,6,0
 11c,122,391,232,6,0
 11d,143,311,444,6,0
